"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"B1";"";"B-DIL";"B-DIL";"RECTIFIER";"";"";"";"";
"C1";"1000uF";"CPOL-EUE3.5-10";"E3,5-10";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C2";"100uF";"CPOL-EUE3.5-10";"E3,5-10";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C3";"4.7uF";"CPOL-EUE3.5-10";"E3,5-10";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C4";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";"";"";"";
"C5";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";"";"";"";
"H1";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";
"H2";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";
"H3";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";
"H4";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";
"IC1";"TS2950-3v3";"LP2950ACZ-3.0";"TO92";"Source: http://cache.national.com/ds/LP/LP2950.pdf";"";"";"";"";
"JP1";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP3";"";"PINHD-1X7";"1X07";"PIN HEADER";"";"";"";"";
"LED1";"";"LED3MM";"LED3MM";"LED";"";"";"";"";
"LED2";"";"LED3MM";"LED3MM";"LED";"";"";"";"";
"LED3";"";"LED3MM";"LED3MM";"LED";"";"";"";"";
"Q1";"IRLB8721PBF";"PMOSFET_NTO220BV";"TO220BV";"Power MOSFET N-Channel";"";"";"";"";
"R1";"220R";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";
"R2";"1K";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";
"R3";"220R";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";
"R4";"1K";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";"";"";"";
"R5";"538-0806";"THERMISTOR-2,5";"RS-2,5";"THERMISTOR";"";"";"";"";
"U$1";"PANSTAMPPANSTAMP";"PANSTAMPPANSTAMP";"DIL24-6";"Panstamp wireless module";"";"";"";"";
"X1";"";"W237-6";"W237-6";"WAGO SCREW CLAMP";"";"";"unknown";"unknown";
